-	8½	-	proper	XX	-	-	-	-	-
-	Alien	-	proper	5	-	-	-	-	-
-	Aquaman	-	proper	6	-	-	-	-	-
-	Avatar	-	proper	6	-	-	-	-	-
-	Avengers	-	proper	5	-	-	-	-	-
-	Bambi	-	proper	5	-	-	-	-	-
-	Barbie	-	proper	21|8	-	-	-	-	-
-	Beck	-	proper	5	-	-	-	-	-
-	Black Panther	-	proper	6	-	-	-	-	-
-	Blade Runner	-	proper	6	-	-	-	-	-
-	Blair Witch Project	-	proper	5	-	-	-	-	-
-	Brokeback Mountain	-	proper	5	-	-	-	-	-
-	Carrie	-	proper	21|8	-	-	-	-	-
-	Casablanca	-	proper	9	-	-	-	-	-
-	Citizen Kane	-	proper	8	-	-	-	-	-
-	Die Hard	-	proper	5	-	-	-	-	-
-	Dracula	-	proper	12	-	-	-	-	-
-	Dumbo	-	proper	1	-	-	-	-	-
-	Forrest Gump	-	proper	5	-	-	-	-	-
-	Frankenstein	-	proper	5	-	-	-	-	-
-	Frozen	-	proper	6	-	-	-	-	-
-	Ghostbusters	-	proper	5	-	-	-	-	-
-	Grease	-	proper	8	-	-	-	-	-
-	Inception	-	proper	5	-	-	-	-	-
-	Jurassic Park	-	proper	5	-	-	-	-	-
-	Jurassic World	-	proper	5	-	-	-	-	-
-	Mad Max	-	proper	5	-	-	-	-	-
-	Manaaja	-	proper	10	-	-	-	-	-
-	Matrix	-	proper	5	-	-	-	-	-
-	Metropolis	-	proper	39|5	-	-	-	-	-
-	Oppenheimer	-	proper	?6	-	-	-	-	-
-	Parasite	-	proper	8	-	-	-	-	-
-	Persona	-	proper	10	-	-	-	-	-
-	Platoon	-	proper	5	-	-	-	-	-
-	Psyko	-	proper	1	-	-	-	-	-
-	Pulp Fiction	-	proper	5	-	-	-	-	-
-	Rocky	-	proper	1	-	-	-	-	-
-	Scarface	-	proper	8	-	-	-	-	-
-	Shrek	-	proper	5	-	-	-	-	-
-	Skyfall	-	proper	5	-	-	-	-	-
-	Spartacus	-	proper	39	-	-	-	-	-
-	Star Wars	-	proper	5	-	-	-	-	-
-	Thelma & Louise	-	proper	8	-	-	-	-	-
-	Titanic	-	proper	5	-	-	-	-	-
-	Top Gun	-	proper	5	-	-	-	-	-
-	Totoro	-	proper	1	-	-	-	-	-
-	Toy Story	-	proper	1	-	-	-	-	-
-	Vertigo	-	proper	2	-	-	-	-	-
-	Wallander	-	proper	5|†6	-	-	-	-	-
-	Ben-Hur	-	proper	5	-	-	-	-	-
-	Spider-Man	-	proper	5	-	-	-	-	-
-	WALL-E	-	proper	18B	-	-	-	-	-
-	Krokotiili|mies	-	proper	42	-	-	-	-	-
-	Kummi|setä	-	proper	10	t:d	-	-	-	-
-	Leijona|kuningas	-	proper	41	nk:ng	-	-	-	-
-	Tappaja|hai	-	proper	18	-	-	-	-	-
-	Linnut	-	proper-pl	1	nt:nn	-	-	-	-
