-	Ajax	-	proper	5	-	-	-	-	-
-	Arsenal	-	proper	5	-	-	-	-	-
-	Atletico	-	proper	1	-	-	-	-	-
-	Atlético	-	proper	1	-	-	-	-	-
-	Bayern	-	proper	5	-	-	-	-	-
-	Blues	-	proper	5	-	-	-	-	-
-	Borussia	-	proper	12	-	-	-	-	-
-	Bruins	-	proper	5	-	-	-	-	-
-	Dynamo	-	proper	2	-	-	-	-	-
-	FIFA	-	proper	10B	-	-	-	-	-
-	FIS	-	proper	10B	-	-	-	-	-
-	Fifa	-	proper	9	-	-	-	-	-
-	Fulham	-	proper	5	-	-	-	-	-
-	HIFK	-	proper	18B	-	-	-	-	-
-	HIFK	-	proper	5B|†5	-	-	-	-	-
-	HJK	-	proper	18B	-	-	-	-	-
-	HPK	-	proper	18B	-	-	-	-	-
-	Haka	-	proper	9	-	-	-	-	-
-	IFK	-	proper	18B	-	-	-	-	-
-	Inter	-	proper	?6	-	-	-	-	-
-	JYP	-	proper	18B|†5B	-	-	-	-	-
-	Juventus	-	proper	39	-	-	-	-	-
-	KHL	-	proper	?10B	-	-	-	-	-
-	KalPa	-	proper	9	-	-	-	-	-
-	KooKoo	-	proper	17	-	-	-	-	-
-	KuPS	-	proper	5|5B	-	-	-	-	-
-	McLaren	-	proper	6	-	-	-	-	-
-	NBA	-	proper	18B	-	-	-	-	-
-	NHL	-	proper	10B	-	-	-	-	-
-	Oilers	-	proper	5	-	-	-	-	-
-	PSG	-	proper	?18B	-	-	-	-	-
-	Pelicans	-	proper	5	-	-	-	-	-
-	Rangers	-	proper	5	-	-	-	-	-
-	RoPS	-	proper	5|5B	-	-	-	-	-
-	SJK	-	proper	18B	-	-	-	-	-
-	SaiPa	-	proper	9	-	-	-	-	-
-	Seagulls	-	proper	5	-	-	-	-	-
-	TPS	-	proper	10B	-	-	-	-	-
-	Tottenham	-	proper	5	-	-	-	-	-
-	Uefa	-	proper	9	-	-	-	-	-
-	VaLePa	-	proper	9	-	-	-	-	-
-	Bundes|liiga	-	proper	9	-	-	-	-	-
-	Konferenssi|liiga	-	proper	9	-	-	-	-	-
-	Timantti|liiga	-	proper	9	-	-	-	-	-
-	Helmarit	-	proper-pl	6	-	-	-	-	-
-	Huuhkajat	-	proper-pl	10	-	-	-	-	-
-	Jokerit	-	proper-pl	6	-	-	-	-	-
-	Jukurit	-	proper-pl	6	-	-	-	-	-
